Selected for Sampling,Complaint Log Year,Complaint Log Month,Program - BIN,Bank Approved Program Name,Program - Bin Type (SF),Consumer Full Name,Account Token/ID,Date Complaint  Received,Compliant End Date,Days Open,Days Elapsed Calculated,True Complaint or Inquiry?,Complaint Source,Complaint Type,Root Cause,Root Cause Narrative,Complaint Details,Brief Summary of Resolution,Response,Program - Customer Support Method
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,1-act,1/4/25,1/4/25,,0,,Intercom,Lost Card,Lost card,,Lost card,"Paused card in the app | sent lost card macro, request current address to order a replacement card",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,2-act,1/7/25,1/7/25,,0,,Intercom,Unrecognized charges,Unrecognized charges,,Unrecognized charges,"Card closed, sent dispute form",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,3-act,1/8/25,1/8/25,,0,,Intercom,Lost card,Lost card,,Lost card,Paused card in the app | advise user of the $20 replacement fee for metal card and the option of getting a free plastic card.,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,4-act,1/8/25,1/9/25,,1,,Intercom,Unrecognized charges,Unrecognized charges,,Unrecognized charges,"Card closed, sent dispute form",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,5-act,1/7/25,1/9/25,,2,,Intercom,Unrecognized charges,Unrecognized charges,,Unrecognized charges,"Card closed, sent a new card, sent dispute form",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,6-act,1/11/25,1/11/25,,0,,Intercom,Unrecognized charges,Unrecognized charges,,Unrecognized charges,"Customer wants to close account due to suspected fraud and lack of credit limit increase. We replaced the card and sent a new metal card, explained the benefits they get on their annual plan.",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,7-act,1/20/25,1/20/25,,0,,Intercom,Lost card,Lost card,,Lost card,"Paused card in the app | sent lost card macro, request current address to order a replacement card",N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,8-act,1/30/25,1/30/25,,0,,Intercom,Direct Deposit,Direct Deposit,,Direct Deposit,Inquiring about the status of payroll direct deposit. Advised the Uswer of the 2-5 BD TF,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,9-act,1/22/25,1/28/25,,6,,Intercom,Annual Upgrade,Annual Upgrade,,Annual Upgrade,User wanted to get refund for the Annual fee as she wanted to downgrade. She never received the metal card,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,10-act,1/13/25,1/13/25,,0,,Intercom,Account Set Up,Account Set Up,,Account Set Up,Unable to click on the Home Screen button. Advised that she have to finish watching all onboarding video.,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,11-act,1/11/25,1/13/25,,2,,Intercom,Physical Card,Physical Card,,Physical Card,User did not received Physical card. Walk the User though on how to activate Virtual ard while waiting for the physical card,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,12-act,1/11/25,1/11/25,,0,,Intercom,Identity theft,Identity theft,,Identity theft,Closed account tagged as fraud ID theft,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,13-act,1/12/25,1/13/25,,1,,Intercom,Identity theft,Identity theft,,Identity theft,Closed account tagged as fraud ID theft,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,14-act,1/12/25,1/12/25,,0,,Intercom,Identity theft,Identity theft,,Identity theft,Closed account tagged as fraud ID theft,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,15-act,1/11/25,1/12/25,,1,,Intercom,Identity theft,Identity theft,,Identity theft,Closed account tagged as fraud ID theft,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,16-act,1/15/25,1/16/25,,1,,Intercom,Identity theft,Identity theft,,Identity theft,Closed account tagged as fraud ID theft,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,17-act,1/16/25,1/16/25,,0,,Intercom,Identity theft,Identity theft,,Identity theft,Closed account tagged as fraud ID theft,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,18-act,1/2/25,1/2/25,,0,,Intercom,Unhappy with product,Unhappy with product,,Unhappy with product,User upset about the amount of unsecured credit they were offered. We explained to the user the best ways to build credit over time.,N/A,Mobile Chat;Web Chat;Email;Call Center
no,2025,January,12345,The Dummy Bank,Consumer Credit,Nikola Jokic,19-act,1/20/25,1/21/25,,1,,Intercom,Duplicate Account,Duplicate Account,,Duplicate Account,"The user contacted us to address a membership renewal text message they received, despite having already cancelled their account. We helped close the duplicate account and assured no charges will be made.",N/A,Mobile Chat;Web Chat;Email;Call Center
